,text,text_clean,tokens,tokens_back_to_text,tokens2,topics
261,"Um, Claudia Guzman said If COVID-19 is airborne, then we'd have to improve the of insulation in many or most places to create negative pressure.",um claudia guzman say covid airborne would improve insulation many place create negative pressure,"[um, claudia, guzman, say, covid, airborne, would, improve, insulation, many, place, create, negative, pressure]",um claudia guzman say covid airborne would improve insulation many place create negative pressure,"['claudia', 'guzman', 'covid', 'airborne', 'would', 'improve', 'insulation', 'many', 'place', 'create', 'negative', 'pressure']",1
262,How's this being addressed?,address,[address],address,['address'],0
263,"Nestor, You have any ideas?",nestor idea,"[nestor, idea]",nestor idea,"['nestor', 'idea']",9
265,"I mean, I can comment on what the at least a hypothetical or scientific data says, You know, ideally, yeah, if you're gonna be in a closed space, ideally that that room should have negative pressure.",mean comment least hypothetical scientific datum say know ideally yeah go closed space ideally room negative pressure,"[mean, comment, least, hypothetical, scientific, datum, say, know, ideally, yeah, go, closed, space, ideally, room, negative, pressure]",mean comment least hypothetical scientific datum say know ideally yeah go closed space ideally room negative pressure,"['mean', 'comment', 'least', 'hypothetical', 'scientific', 'datum', 'ideally', 'closed', 'space', 'ideally', 'room', 'negative', 'pressure']",5
266,"But obviously that's not feasible in most, you know, stores, you know, supermarkets, etcetera.",obviously feasible know store know supermarket etcetera,"[obviously, feasible, know, store, know, supermarket, etcetera]",obviously feasible know store know supermarket etcetera,"['obviously', 'feasible', 'store', 'supermarket', 'etcetera']",1
267,"So, you know, to have good ventilation if possible, to stop it like an air current.",know good ventilation possible stop like air current,"[know, good, ventilation, possible, stop, like, air, current]",know good ventilation possible stop like air current,"['good', 'ventilation', 'possible', 'stop', 'air', 'current']",7
268,"In some places, opening the windows and the doors.",place open window door,"[place, open, window, door]",place open window door,"['place', 'open', 'window', 'door']",2
269,If it's possible with the weather that that should help.,possible weather help,"[possible, weather, help]",possible weather help,"['possible', 'weather', 'help']",7
270,Also conducting activities outdoors supposed to indoor.,also conduct activity outdoors suppose indoor,"[also, conduct, activity, outdoors, suppose, indoor]",also conduct activity outdoors suppose indoor,"['conduct', 'activity', 'outdoors', 'suppose', 'indoor']",6
271,"And we've been doing that with restaurants and other things with, like curse.",restaurant thing like curse,"[restaurant, thing, like, curse]",restaurant thing like curse,"['restaurant', 'curse']",5
272,"I peak off, etcetera, so you know, everything helps a little bit.",peak etcetera know everything help little bit,"[peak, etcetera, know, everything, help, little, bit]",peak etcetera know everything help little bit,"['peak', 'etcetera', 'everything', 'help', 'little', 'bit']",1
273,"I think it's ah, it's a matter off improving, and if you're gonna be in a closed place, Hopefully there won't be that many people decreasing the chances of running into somebody with COVID.",think ah matter improve go closed place hopefully many people decrease chance run somebody covid,"[think, ah, matter, improve, go, closed, place, hopefully, many, people, decrease, chance, run, somebody, covid]",think ah matter improve go closed place hopefully many people decrease chance run somebody covid,"['matter', 'improve', 'closed', 'place', 'hopefully', 'many', 'people', 'decrease', 'chance', 'run', 'somebody', 'covid']",0
274,"So so, no crowding, indoor spaces is also critical.",crowding indoor space also critical,"[crowding, indoor, space, also, critical]",crowding indoor space also critical,"['crowding', 'indoor', 'space', 'critical']",3
276,"I think there are many, many factors.",think many many factor,"[think, many, many, factor]",think many many factor,"['many', 'many', 'factor']",7
277,"I wanted to add something to the comment Before tomorrow, we are seeing the number of places in the hospital also pick up.",want add something comment tomorrow see number place hospital also pick,"[want, add, something, comment, tomorrow, see, number, place, hospital, also, pick]",want add something comment tomorrow see number place hospital also pick,"['want', 'add', 'something', 'comment', 'tomorrow', 'number', 'place', 'hospital', 'pick']",1
278,So I agree.,agree,[agree],agree,['agree'],0
279,"It's not just the testing thing, is definitely really.",testing thing definitely really,"[testing, thing, definitely, really]",testing thing definitely really,"['testing', 'definitely']",0
280,We're starting to see patients in the ICU.,start see patient icu,"[start, see, patient, icu]",start see patient icu,"['start', 'patient', 'icu']",9
281,"Today I have consented a couple of patients in the in the active trial, which is, you know, you usually get once a week.",today consent couple patient active trial know usually get week,"[today, consent, couple, patient, active, trial, know, usually, get, week]",today consent couple patient active trial know usually get week,"['today', 'consent', 'couple', 'patient', 'active', 'trial', 'usually', 'get', 'week']",8
282,We have three or four today between doctor Harkins and I.,three four today doctor harkins,"[three, four, today, doctor, harkins]",three four today doctor harkins,"['three', 'four', 'today', 'doctor', 'harkins']",11
283,So So we're seeing the numbers go up and the hospitalization go up.,see number go hospitalization go,"[see, number, go, hospitalization, go]",see number go hospitalization go,"['number', 'hospitalization']",6
284,Definitely it's not It's not our imagination.,definitely imagination,"[definitely, imagination]",definitely imagination,"['definitely', 'imagination']",0
285,Thank you Nestor and Barbara Oakland just put in the chat.,thank nestor barbara oakland put chat,"[thank, nestor, barbara, oakland, put, chat]",thank nestor barbara oakland put chat,"['nestor', 'barbara', 'oakland', 'put', 'chat']",4
286,What about people who are working inpatient care and clinics?,people work inpatient care clinic,"[people, work, inpatient, care, clinic]",people work inpatient care clinic,"['people', 'work', 'inpatient', 'care', 'clinic']",5
287,"Where there's you can't open the window, there's no you know, there's no clear way to do that.",open window know clear way,"[open, window, know, clear, way]",open window know clear way,"['open', 'window', 'clear', 'way']",6
288,It's a big question.,big question,"[big, question]",big question,"['big', 'question']",6
289,My clinic is actually going to get an environmental engineer to come in and see how we can improve ventilations.,clinic actually go get environmental engineer come see improve ventilation,"[clinic, actually, go, get, environmental, engineer, come, see, improve, ventilation]",clinic actually go get environmental engineer come see improve ventilation,"['clinic', 'get', 'environmental', 'engineer', 'come', 'improve', 'ventilation']",4
